,train,val,test
slide_110,True,False,False
slide_112,True,False,False
slide_113,True,False,False
slide_114,True,False,False
slide_116,True,False,False
slide_117,True,False,False
slide_118,True,False,False
slide_14,True,False,False
slide_119,True,False,False
slide_121,True,False,False
slide_122,True,False,False
slide_123,True,False,False
slide_124,True,False,False
slide_128,True,False,False
slide_132,True,False,False
slide_133,True,False,False
slide_134,True,False,False
slide_135,True,False,False
slide_136,True,False,False
slide_137,True,False,False
slide_139,True,False,False
slide_143,True,False,False
slide_144,True,False,False
slide_145,True,False,False
slide_146,True,False,False
slide_17,True,False,False
slide_150,True,False,False
slide_151,True,False,False
slide_152,True,False,False
slide_153,True,False,False
slide_154,True,False,False
slide_155,True,False,False
slide_156,True,False,False
slide_157,True,False,False
slide_160,True,False,False
slide_161,True,False,False
slide_162,True,False,False
slide_165,True,False,False
slide_166,True,False,False
slide_167,True,False,False
slide_168,True,False,False
slide_171,True,False,False
slide_172,True,False,False
slide_174,True,False,False
slide_175,True,False,False
slide_176,True,False,False
slide_177,True,False,False
slide_179,True,False,False
slide_180,True,False,False
slide_183,True,False,False
slide_185,True,False,False
slide_186,True,False,False
slide_194,True,False,False
slide_197,True,False,False
slide_199,True,False,False
slide_200,True,False,False
slide_202,True,False,False
slide_204,True,False,False
slide_205,True,False,False
slide_212,True,False,False
slide_213,True,False,False
slide_214,True,False,False
slide_217,True,False,False
slide_3,True,False,False
slide_4,True,False,False
slide_218,True,False,False
slide_221,True,False,False
slide_223,True,False,False
slide_225,True,False,False
slide_226,True,False,False
slide_227,True,False,False
slide_228,True,False,False
slide_229,True,False,False
slide_25,True,False,False
slide_230,True,False,False
slide_231,True,False,False
slide_232,True,False,False
slide_234,True,False,False
slide_235,True,False,False
slide_236,True,False,False
slide_237,True,False,False
slide_26,True,False,False
slide_240,True,False,False
slide_242,True,False,False
slide_243,True,False,False
slide_247,True,False,False
slide_248,True,False,False
slide_250,True,False,False
slide_251,True,False,False
slide_252,True,False,False
slide_27,True,False,False
slide_253,True,False,False
slide_254,True,False,False
slide_256,True,False,False
slide_257,True,False,False
slide_259,True,False,False
slide_260,True,False,False
slide_261,True,False,False
slide_28,True,False,False
slide_29,True,False,False
slide_267,True,False,False
slide_268,True,False,False
slide_270,True,False,False
slide_271,True,False,False
slide_272,True,False,False
slide_274,True,False,False
slide_275,True,False,False
slide_280,True,False,False
slide_287,True,False,False
slide_288,True,False,False
slide_289,True,False,False
slide_292,True,False,False
slide_293,True,False,False
slide_296,True,False,False
slide_297,True,False,False
slide_298,True,False,False
slide_300,True,False,False
slide_301,True,False,False
slide_305,True,False,False
slide_307,True,False,False
slide_308,True,False,False
slide_312,True,False,False
slide_313,True,False,False
slide_314,True,False,False
slide_315,True,False,False
slide_316,True,False,False
slide_317,True,False,False
slide_318,True,False,False
slide_319,True,False,False
slide_323,True,False,False
slide_0,True,False,False
slide_1,True,False,False
slide_2,True,False,False
slide_125,True,False,False
slide_126,True,False,False
slide_129,True,False,False
slide_131,True,False,False
slide_138,True,False,False
slide_140,True,False,False
slide_147,True,False,False
slide_158,True,False,False
slide_159,True,False,False
slide_18,True,False,False
slide_19,True,False,False
slide_163,True,False,False
slide_164,True,False,False
slide_169,True,False,False
slide_170,True,False,False
slide_178,True,False,False
slide_181,True,False,False
slide_182,True,False,False
slide_187,True,False,False
slide_188,True,False,False
slide_190,True,False,False
slide_191,True,False,False
slide_192,True,False,False
slide_22,True,False,False
slide_195,True,False,False
slide_196,True,False,False
slide_198,True,False,False
slide_201,True,False,False
slide_23,True,False,False
slide_206,True,False,False
slide_215,True,False,False
slide_216,True,False,False
slide_24,True,False,False
slide_238,True,False,False
slide_239,True,False,False
slide_241,True,False,False
slide_245,True,False,False
slide_246,True,False,False
slide_249,True,False,False
slide_255,True,False,False
slide_258,True,False,False
slide_263,True,False,False
slide_264,True,False,False
slide_265,True,False,False
slide_266,True,False,False
slide_269,True,False,False
slide_273,True,False,False
slide_30,True,False,False
slide_278,True,False,False
slide_279,True,False,False
slide_290,True,False,False
slide_291,True,False,False
slide_295,True,False,False
slide_32,True,False,False
slide_299,True,False,False
slide_302,True,False,False
slide_303,True,False,False
slide_304,True,False,False
slide_306,True,False,False
slide_33,True,False,False
slide_309,True,False,False
slide_310,True,False,False
slide_311,True,False,False
slide_34,True,False,False
slide_321,True,False,False
slide_325,True,False,False
slide_326,True,False,False
slide_403,False,True,False
slide_336,False,True,False
slide_423,False,True,False
slide_366,False,True,False
slide_378,False,True,False
slide_379,False,True,False
slide_12,False,True,False
slide_60,False,True,False
slide_277,False,True,False
slide_388,False,True,False
slide_330,False,True,False
slide_331,False,True,False
slide_173,False,True,False
slide_49,False,True,False
slide_74,False,True,False
slide_442,False,True,False
slide_42,False,True,False
slide_108,False,True,False
slide_21,False,True,False
slide_424,False,True,False
slide_130,False,True,False
slide_46,False,True,False
slide_120,False,True,False
slide_106,False,True,False
slide_207,False,True,False
slide_208,False,True,False
slide_320,False,True,False
slide_285,False,True,False
slide_348,False,True,False
slide_386,False,True,False
slide_222,False,True,False
slide_141,False,True,False
slide_286,False,True,False
slide_36,False,True,False
slide_262,False,True,False
slide_453,False,True,False
slide_85,False,True,False
slide_73,False,True,False
slide_281,False,True,False
slide_322,False,True,False
slide_31,False,True,False
slide_219,False,True,False
slide_220,False,True,False
slide_148,False,True,False
slide_149,False,True,False
slide_355,False,True,False
slide_97,False,True,False
slide_282,False,True,False
slide_283,False,True,False
slide_189,False,True,False
slide_438,False,True,False
slide_13,False,False,True
slide_353,False,False,True
slide_59,False,False,True
slide_16,False,False,True
slide_47,False,False,True
slide_109,False,False,True
slide_276,False,False,True
slide_445,False,False,True
slide_209,False,False,True
slide_244,False,False,True
slide_184,False,False,True
slide_459,False,False,True
slide_479,False,False,True
slide_142,False,False,True
slide_224,False,False,True
slide_210,False,False,True
slide_211,False,False,True
slide_400,False,False,True
slide_284,False,False,True
slide_127,False,False,True
slide_81,False,False,True
slide_419,False,False,True
slide_483,False,False,True
