,train,val,test
0,slide_13,slide_53,slide_452
1,slide_109,slide_209,slide_376
2,slide_110,slide_186,slide_150
3,slide_113,slide_403,slide_468
4,slide_114,slide_260,slide_8
5,slide_118,slide_332,slide_28
6,slide_119,slide_16,slide_29
7,slide_121,slide_382,slide_480
8,slide_123,slide_171,slide_122
9,slide_124,slide_277,slide_47
10,slide_128,slide_226,slide_274
11,slide_130,slide_227,slide_275
12,slide_132,slide_367,slide_14
13,slide_133,slide_120,slide_483
14,slide_134,slide_406,slide_185
15,slide_135,slide_292,slide_116
16,slide_136,slide_165,slide_117
17,slide_137,slide_419,slide_231
18,slide_139,slide_286,slide_88
19,slide_141,slide_383,slide_89
20,slide_142,slide_463,slide_293
21,slide_143,slide_414,slide_426
22,slide_144,slide_415,slide_51
23,slide_145,slide_112,slide_271
24,slide_146,slide_496,slide_335
25,slide_17,slide_91,slide_285
26,slide_151,slide_166,slide_127
27,slide_152,slide_256,slide_289
28,slide_153,slide_371,slide_360
29,slide_154,slide_372,slide_359
30,slide_155,slide_222,slide_251
31,slide_156,slide_5,slide_194
32,slide_157,slide_108,slide_409
33,slide_160,slide_281,slide_361
34,slide_161,slide_454,slide_362
35,slide_162,slide_41,slide_193
36,slide_167,slide_444,slide_249
37,slide_168,slide_457,slide_241
38,slide_172,slide_195,slide_453
39,slide_20,slide_196,slide_475
40,slide_173,slide_425,slide_55
41,slide_174,slide_190,slide_407
42,slide_175,slide_181,slide_408
43,slide_176,slide_470,slide_422
44,slide_177,slide_471,slide_351
45,slide_179,slide_63,slide_273
46,slide_180,slide_311,slide_412
47,slide_21,slide_129,slide_238
48,slide_183,slide_34,slide_76
49,slide_184,slide_355,slide_449
50,slide_197,,slide_450
51,slide_199,,
52,slide_200,,
53,slide_202,,
54,slide_204,,
55,slide_205,,
56,slide_207,,
57,slide_208,,
58,slide_210,,
59,slide_211,,
60,slide_212,,
61,slide_213,,
62,slide_214,,
63,slide_217,,
64,slide_3,,
65,slide_4,,
66,slide_218,,
67,slide_221,,
68,slide_223,,
69,slide_224,,
70,slide_225,,
71,slide_228,,
72,slide_229,,
73,slide_25,,
74,slide_230,,
75,slide_232,,
76,slide_233,,
77,slide_234,,
78,slide_235,,
79,slide_236,,
80,slide_237,,
81,slide_26,,
82,slide_240,,
83,slide_242,,
84,slide_243,,
85,slide_244,,
86,slide_247,,
87,slide_248,,
88,slide_250,,
89,slide_252,,
90,slide_27,,
91,slide_253,,
92,slide_254,,
93,slide_257,,
94,slide_259,,
95,slide_261,,
96,slide_267,,
97,slide_268,,
98,slide_270,,
99,slide_272,,
100,slide_276,,
101,slide_280,,
102,slide_284,,
103,slide_287,,
104,slide_288,,
105,slide_294,,
106,slide_296,,
107,slide_297,,
108,slide_298,,
109,slide_300,,
110,slide_301,,
111,slide_305,,
112,slide_307,,
113,slide_308,,
114,slide_312,,
115,slide_313,,
116,slide_314,,
117,slide_315,,
118,slide_316,,
119,slide_317,,
120,slide_318,,
121,slide_319,,
122,slide_320,,
123,slide_323,,
124,slide_324,,
125,slide_327,,
126,slide_328,,
127,slide_35,,
128,slide_329,,
129,slide_0,,
130,slide_1,,
131,slide_2,,
132,slide_111,,
133,slide_115,,
134,slide_125,,
135,slide_126,,
136,slide_15,,
137,slide_131,,
138,slide_138,,
139,slide_140,,
140,slide_147,,
141,slide_148,,
142,slide_149,,
143,slide_158,,
144,slide_159,,
145,slide_18,,
146,slide_19,,
147,slide_163,,
148,slide_164,,
149,slide_169,,
150,slide_170,,
151,slide_178,,
152,slide_182,,
153,slide_187,,
154,slide_188,,
155,slide_189,,
156,slide_191,,
157,slide_192,,
158,slide_22,,
159,slide_198,,
160,slide_201,,
161,slide_203,,
162,slide_23,,
163,slide_206,,
164,slide_215,,
165,slide_216,,
166,slide_24,,
167,slide_219,,
168,slide_220,,
169,slide_239,,
170,slide_245,,
171,slide_246,,
172,slide_255,,
173,slide_258,,
174,slide_262,,
175,slide_263,,
176,slide_264,,
177,slide_265,,
178,slide_266,,
179,slide_269,,
180,slide_30,,
181,slide_278,,
182,slide_279,,
183,slide_282,,
184,slide_283,,
185,slide_31,,
186,slide_290,,
187,slide_291,,
188,slide_295,,
189,slide_32,,
190,slide_299,,
191,slide_302,,
192,slide_303,,
193,slide_304,,
194,slide_306,,
195,slide_33,,
196,slide_309,,
197,slide_310,,
198,slide_321,,
199,slide_322,,
